source_name,country_bucket,page_type,tested_url,detail_tested_url,http_status,final_url,title_signal,price_signal,currency_signal,builder_model_signal,year_signal,location_signal,loa_signal,engine_signal,image_signal,blocked_or_challenge_signal,notes
boats.com,Croatia,country_bucket,https://www.boats.com/boats-for-sale/country-croatia/,,403,https://www.boats.com/boats-for-sale/country-croatia/,False,False,False,False,False,False,False,False,False,True,HTTP 403 or challenge stop signal
boats.com,Slovenia,country_bucket,https://www.boats.com/boats-for-sale/country-slovenia/,,403,https://www.boats.com/boats-for-sale/country-slovenia/,False,False,False,False,False,False,False,False,False,True,HTTP 403 or challenge stop signal
boats.com,Italy,country_bucket,https://www.boats.com/boats-for-sale/country-italy/,,403,https://www.boats.com/boats-for-sale/country-italy/,False,False,False,False,False,False,False,False,False,True,HTTP 403 or challenge stop signal
boats.com,Greece,country_bucket,https://www.boats.com/boats-for-sale/country-greece/,,403,https://www.boats.com/boats-for-sale/country-greece/,False,False,False,False,False,False,False,False,False,True,HTTP 403 or challenge stop signal
boats.com,Turkey,country_bucket,https://www.boats.com/boats-for-sale/country-turkey/,,403,https://www.boats.com/boats-for-sale/country-turkey/,False,False,False,False,False,False,False,False,False,True,HTTP 403 or challenge stop signal
boats.com,Montenegro,country_bucket,https://www.boats.com/boats-for-sale/country-montenegro/,,403,https://www.boats.com/boats-for-sale/country-montenegro/,False,False,False,False,False,False,False,False,False,True,HTTP 403 or challenge stop signal
boats.com,Malta,country_bucket,https://www.boats.com/boats-for-sale/country-malta/,,403,https://www.boats.com/boats-for-sale/country-malta/,False,False,False,False,False,False,False,False,False,True,HTTP 403 or challenge stop signal
boats.com,Spain,country_bucket,https://www.boats.com/boats-for-sale/country-spain/,,403,https://www.boats.com/boats-for-sale/country-spain/,False,False,False,False,False,False,False,False,False,True,HTTP 403 or challenge stop signal
boats.com,France,country_bucket,https://www.boats.com/boats-for-sale/country-france/,,403,https://www.boats.com/boats-for-sale/country-france/,False,False,False,False,False,False,False,False,False,True,HTTP 403 or challenge stop signal
Botentekoop,Croatia,country_bucket,https://www.botentekoop.com/search?query=Croatia,,403,https://www.botentekoop.com/search?query=Croatia,False,False,False,False,False,False,False,False,False,True,HTTP 403 or challenge stop signal
Botentekoop,Slovenia,country_bucket,https://www.botentekoop.com/search?query=Slovenia,,403,https://www.botentekoop.com/search?query=Slovenia,False,False,False,False,False,False,False,False,False,True,HTTP 403 or challenge stop signal
Botentekoop,Italy,country_bucket,https://www.botentekoop.com/search?query=Italy,,403,https://www.botentekoop.com/search?query=Italy,False,False,False,False,False,False,False,False,False,True,HTTP 403 or challenge stop signal
Botentekoop,Greece,country_bucket,https://www.botentekoop.com/search?query=Greece,,403,https://www.botentekoop.com/search?query=Greece,False,False,False,False,False,False,False,False,False,True,HTTP 403 or challenge stop signal
Botentekoop,Turkey,country_bucket,https://www.botentekoop.com/search?query=Turkey,,403,https://www.botentekoop.com/search?query=Turkey,False,False,False,False,False,False,False,False,False,True,HTTP 403 or challenge stop signal
Botentekoop,Montenegro,country_bucket,https://www.botentekoop.com/search?query=Montenegro,,403,https://www.botentekoop.com/search?query=Montenegro,False,False,False,False,False,False,False,False,False,True,HTTP 403 or challenge stop signal
Botentekoop,Malta,country_bucket,https://www.botentekoop.com/search?query=Malta,,403,https://www.botentekoop.com/search?query=Malta,False,False,False,False,False,False,False,False,False,True,HTTP 403 or challenge stop signal
Botentekoop,Spain,country_bucket,https://www.botentekoop.com/search?query=Spain,,403,https://www.botentekoop.com/search?query=Spain,False,False,False,False,False,False,False,False,False,True,HTTP 403 or challenge stop signal
Botentekoop,France,country_bucket,https://www.botentekoop.com/search?query=France,,403,https://www.botentekoop.com/search?query=France,False,False,False,False,False,False,False,False,False,True,HTTP 403 or challenge stop signal
